,Unnamed: 0,sku,product_url,name,price,product_int_id
0,0,GLGV67814284418593,GLGV67814284418593.html,"Samsung - 32 Class (31.5"" Diag.) - LED - 720p - Smart - HDTV""",549.99,0
1,1,VIME57909251870956,VIME57909251870956.html,"MTX Audio - MTX 8 225W 2-way Speaker (Each) - Black""",359.0,1
2,2,AOHT10549184122976,AOHT10549184122976.html,Lumix DMC-G7 Mirrorless Micro Four Thirds Digital Camera with 14-42mm Lens and Accessory Kit (Black),18.95,2
3,3,FCHN45951600770013,FCHN45951600770013.html,Universal Foldable Bluetooth Keyboard for Mobile Devices,2749.95,3
4,4,KWXJ76649293162595,KWXJ76649293162595.html,BC-TRW W Series Battery Charger (Black),180.05,4
5,5,GFQL17451226559320,GFQL17451226559320.html,Details About Kenwood 12 Inch 2000 Watt 4 Ohm Single Voice Coil Audio Subwoofer | Kfcw3016ps,299.98,5
6,6,BZYU83705820719604,BZYU83705820719604.html,BC 30 Wireless Backup Camera with Car Adapter Power Cable,192.99,6
7,7,WLPN03464160183730,WLPN03464160183730.html,Sony - WH-CH700N Wireless Noise Canceling Over-the-Ear Headphones - Black,46.99,7
8,8,EIFW78008717787014,EIFW78008717787014.html,CORSAIR - VENGEANCE RGB Series 32GB (4PK 8GB) 3.466GHz DDR4 Desktop Memory with RGB Lighting - Black,449.99,8
9,9,IVUT95760334739173,IVUT95760334739173.html,Sony STRDN1070 7.2-channel AV Receiver w/ Bluetooth,447.99,9
10,10,KTXW07751167062764,KTXW07751167062764.html,Yamaha - Micro Component System - Blue,41.99,10
11,11,ZHLW25223784777665,ZHLW25223784777665.html,WD Blue 1TB SATA 6 Gb/s 7200 RPM 64MB Cache 3.5 Inch Desktop Hard Drive (WD10EZEX),90.71,11
12,12,ZCQU96066415219752,ZCQU96066415219752.html,"Details About Alpine 480w 6.5 2way Typee Coaxial Car Speakers W/ Silk Tweeters | Spe6000""",149.99,12
13,13,YUBN22534584246312,YUBN22534584246312.html,"AOC - 18.5 LED Monitor - Black""",74.99,13
14,14,LWQA52557662413631,LWQA52557662413631.html,Cyber-shot DSC-WX220 Digital Camera (Black),232.99,14
15,15,UFZQ51964352215241,UFZQ51964352215241.html,"BIC America - 6-1/2 Floor Speaker (Each) - Black""",1399.99,15
16,16,UORU31079688029754,UORU31079688029754.html,VE278Q 27 Widescreen LCD Computer Display,199.98,16
17,17,NFDS13690456534350,NFDS13690456534350.html,iHome iBN43BC Bluetooth Stereo Dual Alarm FM Clock Radio and Speakerphone with USB Charging,534.82,17
18,18,SCLX44802002074520,SCLX44802002074520.html,Google Daydream View - VR Headset (Slate),39.99,18
19,19,REKT71446190604396,REKT71446190604396.html,450 Mbps 2.4/5GHz Wireless N Dual Band PCI Express Adapter,179.99,19
20,20,LVKJ89270644079793,LVKJ89270644079793.html,"Details About Razer Blade Laptop 14 Full Hd (i77700hq""",72.99,20
21,21,KTGI31458586254393,KTGI31458586254393.html,Details About Wd Red Pro 8tb Nas Desktop Hard Drive Intellipower 6 Gbs 128 Mb Cache Wd8001ffwx,49.99,21
22,22,KWDG35659660070077,KWDG35659660070077.html,Elite SC-LX501 7.2-Channel Network A/V Receiver,80.0,22
23,23,RLGY69666918687602,RLGY69666918687602.html,E100 1080p Dash Camera,179.99,23
24,24,PXLV38174647927350,PXLV38174647927350.html,"Peerless - SmartMount Tilt TV Wall Mount for 42 - 71"" Flat-Panel TVs - Black""",74.99,24
25,25,VFTC73526607152149,VFTC73526607152149.html,Alpha a5100 Mirrorless Digital Camera with 16-50mm Lens (White),498.5,25
26,26,JUTJ94159606172479,JUTJ94159606172479.html,"RCA Indoor Digital TV Antenna, Amplified, 40-Mile Range",56.95,26
27,27,HEIM05631290599020,HEIM05631290599020.html,Panamax - 11-Outlet Surge Protector - Black,1498.0,27
28,28,EFDJ88356769285294,EFDJ88356769285294.html,V-MODA Crossfade Wireless Over-Ear Headphones - Phantom Chrome,77.99,28
29,29,OHJL86512420684027,OHJL86512420684027.html,ZTE Warp Elite No Contract Phone - Retail Packaging - Boost,3299.99,29
30,30,CXWF09118336751734,CXWF09118336751734.html,Details About Fits Chevy Silverado Pickup 19992006 Speaker Upgrade Pioneer Tsg1345r Tsg4620s,285.31,30
31,31,NJJW68521049552752,NJJW68521049552752.html,Stile Collection Bella IV Shoulder Bag (Black),49.0,31
