,sku,product_url,name,price
0,GLGV67814284418593,GLGV67814284418593.html,"Samsung - 32 Class (31.5"" Diag.) - LED - 720p - Smart - HDTV""",549.99
1,VIME57909251870956,VIME57909251870956.html,"MTX Audio - MTX 8 225W 2-way Speaker (Each) - Black""",359.0
2,AOHT10549184122976,AOHT10549184122976.html,Lumix DMC-G7 Mirrorless Micro Four Thirds Digital Camera with 14-42mm Lens and Accessory Kit (Black),18.95
3,FCHN45951600770013,FCHN45951600770013.html,Universal Foldable Bluetooth Keyboard for Mobile Devices,2749.95
4,KWXJ76649293162595,KWXJ76649293162595.html,BC-TRW W Series Battery Charger (Black),180.05
5,GFQL17451226559320,GFQL17451226559320.html,Details About Kenwood 12 Inch 2000 Watt 4 Ohm Single Voice Coil Audio Subwoofer | Kfcw3016ps,299.98
6,BZYU83705820719604,BZYU83705820719604.html,BC 30 Wireless Backup Camera with Car Adapter Power Cable,192.99
7,WLPN03464160183730,WLPN03464160183730.html,Sony - WH-CH700N Wireless Noise Canceling Over-the-Ear Headphones - Black,46.99
8,EIFW78008717787014,EIFW78008717787014.html,CORSAIR - VENGEANCE RGB Series 32GB (4PK 8GB) 3.466GHz DDR4 Desktop Memory with RGB Lighting - Black,449.99
9,IVUT95760334739173,IVUT95760334739173.html,Sony STRDN1070 7.2-channel AV Receiver w/ Bluetooth,447.99
10,KTXW07751167062764,KTXW07751167062764.html,Yamaha - Micro Component System - Blue,41.99
11,ZHLW25223784777665,ZHLW25223784777665.html,WD Blue 1TB SATA 6 Gb/s 7200 RPM 64MB Cache 3.5 Inch Desktop Hard Drive (WD10EZEX),90.71
12,ZCQU96066415219752,ZCQU96066415219752.html,"Details About Alpine 480w 6.5 2way Typee Coaxial Car Speakers W/ Silk Tweeters | Spe6000""",149.99
13,YUBN22534584246312,YUBN22534584246312.html,"AOC - 18.5 LED Monitor - Black""",74.99
14,LWQA52557662413631,LWQA52557662413631.html,Cyber-shot DSC-WX220 Digital Camera (Black),232.99
15,UFZQ51964352215241,UFZQ51964352215241.html,"BIC America - 6-1/2 Floor Speaker (Each) - Black""",1399.99
16,UORU31079688029754,UORU31079688029754.html,VE278Q 27 Widescreen LCD Computer Display,199.98
17,NFDS13690456534350,NFDS13690456534350.html,iHome iBN43BC Bluetooth Stereo Dual Alarm FM Clock Radio and Speakerphone with USB Charging,534.82
18,SCLX44802002074520,SCLX44802002074520.html,Google Daydream View - VR Headset (Slate),39.99
