,Unnamed: 0,clientId,dateHourMinute,country,deviceCategory,medium,eventType,eventData,eventValue,eventDetails_2,sessionsToTransaction
27440,27440,3498,202109021641,Germany,mobile,(none),pageview,HLWM87547683450346.html,6.0,,
86595,86595,10886,202109191301,Germany,desktop,(none),pageview,VGTN74479363873393.html,7.0,,
609,609,86,202109011909,Austria,tablet,(none),pageview,OKVO74136708914083.html,24.0,,
45227,45227,5747,202109142246,Austria,mobile,cpc,pageview,HRPZ65589358197790.html,38.0,,
147907,147907,18714,202109271650,Austria,mobile,cpc,pageview,QHET53129928485079.html,25.0,,
90793,90793,11445,202109182100,Germany,desktop,social,pageview,CKQO00002884997813.html,28.0,,
80770,80770,9453,202109151513,Switzerland,desktop,cpc,addToCart,UDNY78673196484285.html,2.0,,
106365,106365,13511,202109191826,Austria,mobile,organic,pageview,WWGW23203785135460.html,13.0,,
142731,142731,18043,202109261357,Germany,mobile,organic,pageview,ZJRE45520760696115.html,5.0,,
174383,174383,21922,202110030542,Germany,mobile,organic,pageview,VBCL67434121442405.html,5.0,,
167826,167826,21055,202110012112,Austria,mobile,cpc,pageview,DEWQ98709210847282.html,10.0,,
24761,24761,3100,202109071518,Germany,mobile,cpc,pageview,QHZL94668959490684.html,11.0,,
7021,7021,958,202109041645,Germany,mobile,organic,pageview,WAXX76853608475280.html,39.0,,
138612,138612,17496,202109231946,Germany,desktop,(none),pageview,UEVF23196669044176.html,4.0,,
46111,46111,5828,202109092200,Austria,mobile,organic,pageview,MAZE53910921464441.html,24.0,,
124367,124367,15617,202109241109,Germany,desktop,(none),pageview,RLFB10119522037053.html,459.0,,
122330,122330,15380,202109252218,Austria,desktop,organic,pageview,KSHC02326190417349.html,10.0,,
58072,58072,7318,202109091605,Germany,mobile,cpc,pageview,URWF80636704028640.html,9.0,,
113191,113191,14390,202109191737,Germany,desktop,cpc,pageview,VDYB23497307466988.html,3.0,,
55315,55315,6931,202109121609,Austria,mobile,organic,pageview,ANDE73513366492250.html,6.0,,
164599,164599,20656,202110021412,Germany,mobile,organic,pageview,JPQT54319984914338.html,12.0,,
169607,169607,21265,202110010743,Germany,mobile,cpc,pageview,VJRB40565539076503.html,28.0,,
107960,107960,13719,202109221702,Germany,mobile,social,pageview,BSIJ18328731402755.html,19.0,,
138603,138603,17492,202109261633,Austria,mobile,cpc,pageview,NDFC03113021304490.html,10.0,,
85380,85380,10744,202109191102,Germany,mobile,cpc,pageview,VLUQ68775069854331.html,17.0,,
125408,125408,15783,202109231416,Germany,tablet,(none),pageview,LCXR74290143200461.html,7.0,,
157742,157742,19777,202110032009,Germany,mobile,cpc,pageview,HNQO23546622886294.html,9.0,,
145070,145070,18353,202109292119,Austria,desktop,(none),pageview,HWYJ64794644097067.html,28.0,,
42752,42752,5466,202109091111,Austria,desktop,(none),pageview,RHBG41759482593154.html,20.0,,
114061,114061,14490,202109161615,Austria,desktop,cpc,pageview,AVWP47757376198129.html,12.0,,
18856,18856,2349,202109081745,Germany,desktop,(none),pageview,IYZO91139257203882.html,8.0,,
71878,71878,9136,202109091731,Germany,mobile,cpc,pageview,ZHXN32556705068197.html,9.0,,
22944,22944,2907,202109030957,Austria,mobile,organic,pageview,AMMA19267683841284.html,8.0,,
126010,126010,15852,202109291809,Germany,mobile,social,pageview,GXDC74473438114332.html,26.0,,
132347,132347,16671,202109252219,Germany,mobile,social,pageview,LUAL51135819120629.html,10.0,,
